title,category,subCategory,description,specification,brand,price,image
Enterprise license,Беспроводные точки доступа,Лицензия,Требуется для каждого устройства MG для управления облачной сетью и поддержки в режиме 24/7,,Meraki,226,
MG52,Беспроводные точки доступа,Точки доступа GSM,"Meraki MG52 — это модель мобильного шлюза от Cisco Meraki, который является частью их облачных сетевых решений. Этот устройство предназначено для обеспечения надежного сотового соединения и может использоваться как основной, так и резервный интернет-канал, особенно в тех местах, где традиционная широкополосная связь недоступна или ненадежна. ","Встроенный 5G SA/NSA Sub6 LTE CAT20; 
eSIM с облачным управлением; 
Поддержка двух SIM-карт; Поддерживает 2 отдельных нисходящих Ethernet-соединения; PoE+ or DC powered; IP67 rating; 
Дополнительная патч-антенна",Meraki,1950,https://meraki.cisco.com/wp-content/uploads/2024/05/MG52-header-774x350-1.png
MG21E,Беспроводные точки доступа,Точки доступа GSM,"Подключение имеет решающее значение для любой организации, функционирование которой зависит от надежного доступа в Интернет. Возможности беспроводного подключения к глобальной сети, такие как сотовые сети, служат надежным резервным каналом доступа в Интернет в случае сбоя основного канала. 

Сотовый шлюз MG21 упрощает подключение к беспроводной глобальной сети и делает сотовую связь жизнеспособным вариантом восходящей линии связи для многих сетей. MG21 действует как шлюз для сотовых сетей, преобразуя сигнал LTE от оператора сотовой связи в Ethernet-канал передачи данных, который может использоваться в качестве восходящей линии связи в Интернете для различных целей.","

-Встроенный модем CAT 6 LTE 300 Мбит/с;
-Поддерживает 2 отдельных подключения нисходящего -маршрутизатора;

-PoE or DC powered
IP67 rating
",Meraki,1207,https://meraki.cisco.com/wp-content/uploads/2023/09/mg21e-wireless-wan-product-tile.png
MG41,Беспроводные точки доступа,Точки доступа GSM,"Сотовый шлюз MG41 упрощает подключение к беспроводной глобальной сети и делает сотовую связь жизнеспособным вариантом восходящей линии связи для многих сетей. MG41 действует как шлюз к сотовым сетям Интернета, преобразуя сигнал LTE от оператора сотовой связи в Ethernet-канал передачи данных, который может использоваться в качестве восходящей линии связи в различных случаях использования. 
MG41 может работать с любым маршрутизирующим или коммутационным устройством, как с Meraki, так и без него. Благодаря дополнительной совместимости с 802.3af MG можно разместить в любом месте и запитывать через PoE, как любую точку доступа. Это дает пользователям возможность оптимального физического размещения с точки зрения качества сигнала, что является краеугольным камнем беспроводной глобальной сети связи.","
-Встроенное соединение CAT18
-Поддерживает 2 отдельных
-Поддерживает 2 отдельных подключения нисходящего -маршрутизатора;
PoE or DC powered
IP67 rating
Дополнительная патч-антенна
",Meraki,1532,https://files.mtstatic.com/site_13505/25791/0?Expires=1725612150&Signature=NZBTVv~89f~ZwH1NJPFrKZfxAXxqgLdv2jGh5gZq7XuW9jc~hJnqeyYgPRI16XfK2n0vJ04Vr6kzkfX6ZTKANmPG8CS1WHoQgzVOmaw40uwyVMFZmfjXfzWcr0yJzU-jteJPo8BmHcbQy2KCtESlqVbYqNonuShB07N7qVhsRd4_&Key-Pair-Id=APKAJ5Y6AV4GI7A555NA
MG51,Беспроводные точки доступа,Точки доступа GSM,"Сотовый шлюз MG51 упрощает подключение к беспроводной сети WAN по протоколу 5G и делает сотовую связь жизнеспособным основным вариантом восходящей линии связи для многих сетей, устраняя необходимость в проводных каналах. MG51 действует как шлюз к сотовым сетям Интернета, преобразуя сигнал 5G и LTE от оператора сотовой связи в Ethernet-канал передачи данных, который может использоваться в качестве восходящей линии связи в различных случаях использования. 

MG51 может работать с любым маршрутизирующим или коммутационным устройством, как с Meraki, так и без него. Благодаря дополнительной совместимости с 802.3at MG может быть размещен в любом месте и получать питание через PoE, как и любая точка доступа. Это дает пользователям возможность оптимального физического размещения с точки зрения качества сигнала, что является краеугольным камнем беспроводной глобальной сети связи.","

-Встроенный 5G Sub 6 ГГц с возможностью аварийного переключения CAT20 LTE
-Поддержка двух SIM-карт
Поддерживает 2 отдельных подключения нисходящего -маршрутизатора;
PoE+ or DC powered
IP67 rating
Дополнительная патч-антенна
",Meraki,3195,https://meraki.cisco.com/wp-content/uploads/2023/09/mg41-wireless-wan-product-tile.png
MX67C,Security and SD-WAN (MX),Small Branch,"Модели MX67C и MX68CW, разработанные с нуля и оснащенные новым встроенным сотовым модемом, призваны упростить любое развертывание, требующее подключения к сети сотовой связи. Это идеально подходит для небольших удаленных объектов с ненадежными поставщиками услуг глобальной сети или для объектов, которым требуется высочайший уровень резервирования и доступности. Панель управления Meraki со встроенной сотовой связью обеспечивает простое и понятное развертывание MX67C или MX68CW с минимальной предварительной настройкой практически в любом месте. 

Для небольших объектов, которым не требуется сотовая связь, но все же требуется мощное устройство, которое можно легко развернуть, базовые модели MX67 и MX68 доступны без встроенной сотовой связи. MX67 и MX68 также доступны в беспроводных моделях (MX67W / MX68CW), которые могут обеспечивать покрытие 802.11ac для беспроводных клиентов.","Управляется через панель управления Cisco Meraki

Автоматическое обновление прошивки

Балансировка WAN-каналов

Автоматическое аварийное переключение WAN

SD-WAN через Meraki AutoVPN

Межсетевой экран L3/L7 с отслеживанием состояния

Правила брандмауэра на основе географического положения

1:1 и 1:Много NAT

Настраиваемые VLAN/поддержка DHCP

Статическая маршрутизация

Конечная точка клиентского VPN

Meraki AutoVPN и конечная точка IPSec VPN

Интеграция с Active Directory

Фильтрация контента

Защита от вредоносного ПО (AMP) с дополнительной интеграцией Threat Grid

IDS/IPS-защита 

Пользовательское формирование трафика

Историческая статистика использования клиентов

Поддержка Netflow

Интеграция системного журнала

Инструменты удаленного захвата пакетов

Поддержка проводного и беспроводного подключения 802.1X.",Meraki,1657,https://meraki.cisco.com/wp-content/uploads/2023/09/MX67C-security-sdwan-product-tile.png
MX67,Security and SD-WAN (MX),Small Branch,"Модели MX67C и MX68CW, разработанные с нуля и оснащенные новым встроенным сотовым модемом, призваны упростить любое развертывание, требующее подключения к сети сотовой связи. Это идеально подходит для небольших удаленных объектов с ненадежными поставщиками услуг глобальной сети или для объектов, которым требуется высочайший уровень резервирования и доступности. Панель управления Meraki со встроенной сотовой связью обеспечивает простое и понятное развертывание MX67C или MX68CW с минимальной предварительной настройкой практически в любом месте. 

Для небольших объектов, которым не требуется сотовая связь, но все же требуется мощное устройство, которое можно легко развернуть, базовые модели MX67 и MX68 доступны без встроенной сотовой связи. MX67 и MX68 также доступны в беспроводных моделях (MX67W / MX68CW), которые могут обеспечивать покрытие 802.11ac для беспроводных клиентов.","Особенности  
Управляется с помощью панели управления Cisco Meraki

Автоматическое обновление встроенного ПО

Балансировка каналов глобальной сети

Автоматическая отработка отказа в глобальной сети

SD-WAN через Meraki AutoVPN

Брандмауэр с отслеживанием состояния L3/L7

Правила брандмауэра на основе географических данных

1:1 и 1:Много NAT

Настраиваемая поддержка VLAN/DHCP

Статическая маршрутизация

Конечная точка клиента VPN

Конечная точка Meraki AutoVPN и IPSec VPN

Интеграция с Active Directory

Фильтрация содержимого

Защита от вредоносных программ (AMP) с дополнительной интеграцией threat grid

Защита IDS/IPS 

Настраиваемая генерация трафика

Историческая статистика использования клиентами

Поддержка Netflow

Интеграция с системным журналом

Средства удаленного перехвата пакетов

Поддержка проводной и беспроводной связи стандарта 802.1X",Meraki,823,https://files.mtstatic.com/site_13505/7077/0?Expires=1725612793&Signature=r7Hnb2TuYpjkWK5PIDzS0RmIw1-6MYPx648NqlPSlkOYob0ZxU2lBpueD7UuxszKPq~4lrYj43uGGXGC9Fo6h9KGRYHT~CnjaSR~sPIkDK8yDcATnAkszmbmRTpRT9D6uvSMge8N4XGE8UCBsWPCkICVThQlt-1-9yIhmewJHMY_&Key-Pair-Id=APKAJ5Y6AV4GI7A555NA
MX68,Security and SD-WAN (MX),Small Branch,"Модели MX67C и MX68CW, разработанные с нуля и оснащенные новым встроенным сотовым модемом, призваны упростить любое развертывание, требующее подключения к сети сотовой связи. Это идеально подходит для небольших удаленных объектов с ненадежными поставщиками услуг глобальной сети или для объектов, которым требуется высочайший уровень резервирования и доступности. Панель управления Meraki со встроенной сотовой связью обеспечивает простое и понятное развертывание MX67C или MX68CW с минимальной предварительной настройкой практически в любом месте. 

Для небольших объектов, которым не требуется сотовая связь, но все же требуется мощное устройство, которое можно легко развернуть, базовые модели MX67 и MX68 доступны без встроенной сотовой связи. MX67 и MX68 также доступны в беспроводных моделях (MX67W / MX68CW), которые могут обеспечивать покрытие 802.11ac для беспроводных клиентов.","Особенности  
Управляется с помощью панели управления Cisco Meraki

Автоматическое обновление встроенного ПО

Балансировка каналов глобальной сети

Автоматическая отработка отказа в глобальной сети

SD-WAN через Meraki AutoVPN

Брандмауэр с отслеживанием состояния L3/L7

Правила брандмауэра на основе географических данных

1:1 и 1:Много NAT

Настраиваемая поддержка VLAN / DHCP

Статическая маршрутизация

Клиентская конечная точка VPN

Конечная точка Meraki AutoVPN и IPSec VPN

Интеграция с Active Directory

Фильтрация содержимого

Защита от вредоносных программ (AMP) с дополнительной интеграцией сетки угроз

Защита IDS/IPS 

Настраиваемое формирование трафика

Историческая статистика использования клиента

Поддержка Netflow

Интеграция с системным журналом

Инструменты удаленного перехвата пакетов

Поддержка проводной и беспроводной связи стандарта 802.1X",Meraki,1177,https://meraki.cisco.com/wp-content/uploads/2023/09/MX68-security-sdwan-product-tile.png
MX75 Datasheet,Security and SD-WAN (MX),Small Branch,"Meraki MX75 - это корпоративное устройство безопасности, разработанное для распределенных развертываний, требующих удаленного администрирования в средах среднего уровня. Оно идеально подходит для сетевых администраторов, которым требуется простота развертывания и современный набор функций. Панель управления Meraki обеспечивает простое и понятное развертывание MX75 с минимальной предварительной настройкой практически в любом месте.

Он обеспечивает 3 выделенных восходящих канала WAN, 1 SFP-порт x GbE и 2 порта x RJ45 GbE. Порты LAN включают в себя 10 портов x RJ45 GbE. MX75 готов к развертыванию в различных корпоративных средах. Устройство MX75 обладает следующими функциями","Особенности  
Управляется с помощью панели управления Cisco Meraki

Автоматическое обновление встроенного ПО

Балансировка каналов глобальной сети

Автоматическая отработка отказа в глобальной сети

SD-WAN через Meraki AutoVPN

Брандмауэр с отслеживанием состояния L3/L7

Правила брандмауэра на основе географических данных

1:1 и 1:Много NAT

Настраиваемая поддержка VLAN / DHCP

Статическая маршрутизация

Клиентская конечная точка VPN

Конечная точка Meraki AutoVPN и L2TP/IPSec VPN

Интеграция с Active Directory

Фильтрация содержимого

Защита от вредоносных программ (AMP) с дополнительной интеграцией Threat Grid

Интерфейсы защиты IDS/IPS
1 x 1 гигабитный Ethernet-порт SFP, выделенный для восходящих линий WAN

2 x RJ45 / 1 Гигабитный Ethernet-порт, выделенный для восходящих линий WAN

8 портов локальной сети RJ45 / 1 Gigabit Ethernet

2 порта локальной сети RJ45 / 1 Gigabit Ethernet с поддержкой технологии PoE+

1 порт USB 3.0

Настраиваемое формирование трафика

Историческая статистика использования клиентами

Поддержка Netflow

Интеграция с системным журналом

Средства удаленного перехвата пакетов",Meraki,2360,https://files.mtstatic.com/site_13505/15267/0?Expires=1725612451&Signature=WHy3PdS5vlhVy5YlFRmWKg4UjLRMxgKhK5WsH~wb8MtnirA9j0WDybB5z5I9wuay91fXoF7RWLNdUgIW7HRTP9iChA4NdI0NPi2ctwtfs11u9Z1p-JZfYfZiF9LmU0jWIvPe0ndBzPBUMGoIs1LVrbz54S7iV05GETyVGsTYo2k_&Key-Pair-Id=APKAJ5Y6AV4GI7A555NA
MX105,Security and SD-WAN (MX),Medium Branch,"Meraki MX 95/105 - это корпоративное устройство безопасности, разработанное для распределенных развертываний, требующих удаленного администрирования в средах среднего уровня. Оно идеально подходит для сетевых администраторов, которым требуется простота развертывания и современный набор функций. Панель управления Meraki обеспечивает простое и понятное развертывание MX 95/105 с минимальной реконфигурацией практически в любом месте.  

Включает в себя 4 выделенных восходящих канала WAN, 2 порта SFP+ 10G и 2 порта RJ45 2,5G gig. Порты LAN включают в себя 4 порта RJ45 1GbE и 2 порта SFP+ 10G. MX 95/105 готов к развертыванию в различных корпоративных средах. MX 95/105","Особенности  
Управляется с помощью панели управления Cisco Meraki

Автоматическое обновление встроенного ПО

Балансировка каналов глобальной сети

Автоматическая отработка отказа в глобальной сети

SD-WAN через Meraki Auto VPN

Брандмауэр с отслеживанием состояния L3/L7

Правила брандмауэра на основе географических данных

1:1 и 1:Много NAT

Настраиваемая поддержка VLAN/DHCP

Статическая маршрутизация

Клиентская конечная точка VPN

Meraki Auto VPN и конечная точка L2TP/IPSec VPN

Интеграция с Active Directory

Фильтрация содержимого

Защита от вредоносных программ (AMP) с дополнительной интеграцией сетки угроз

Защита IDS/IPS 

Настраиваемое формирование трафика

Историческая статистика использования клиентов

Поддержка Netflow

Интеграция с системным журналом

Средства удаленного перехвата пакетов",Meraki,8866,https://meraki.cisco.com/wp-content/uploads/2023/09/mx105-security-sdwan-product-tile.png
